,text_surronding
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18935,"heurtaient , s' injuriaient . L' un d' eux se"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18949,"Les autres se moquèrent . Il se précipita , et"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18961,"un coup de hache , fendit une mâchoire . On"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18969,". On s' écartait . Il revint , s' acharna"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18973,". Il revint , s' acharna , écrasa une tête"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18975,"revint , s' acharna , écrasa une tête . Il"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_18979,", écrasa une tête . Il pleurait toujours . –"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19025,"lassés , s' abandonnèrent . L' homme furieux s' allongea"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19031,"homme furieux s' allongea parmi ses compagnons , paisiblement ."
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19048,FUYAIT SUR LE récif . Il avait à grand' peine
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19063,". Hagard et haletant , il détalait sans trêve ."
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19077,"poudrées de safran , coupaient son visage . Ses couronnes"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19080,", coupaient son visage . Ses couronnes flétries glissaient de"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19090,la tête aux épaules . Son maro déchiré dénudait ses
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19094,". Son maro déchiré dénudait ses cuisses , et ,"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19121,"épaula , frémit , et lui vint crever sur la"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19128,"crever sur la tête : il roula , piqué par"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19142,corail vivant qui craquaient dans sa peau . Se redressant
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19156,"esquiver une autre vague , il s' effrayait : c'"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19230,qui brandissaient des lances . Térii sentit que sa fuite
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19233,lances . Térii sentit que sa fuite douloureuse était une
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19246,dieux rancuniers ; — mais il trouva bon qu' elle
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19270,"ne se risquait , derrière lui , dans la mer"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19290,revenait côtoyer les terres . Le fugitif interrogea la nuit
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19322,"par instant . Alors , il souffla . Puis ,"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19337,"et défiant l' ombre , il vint rôder aux abords"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19362,"l' imprécise clarté nouvelle , Térii heurta des corps étendus"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19374,un ne s' éveilla : il reconnut les guerriers Nuú
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19435,"autre qui se vautrait à son flanc , le tenait"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19438,"vautrait à son flanc , le tenait serré comme un"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19454,de ceux - là ! Térii les enjamba . Il
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19458,! Térii les enjamba . Il piétinait des monceaux de
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19578,courant à la rivière . Térii se souvint que sa
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19582,. Térii se souvint que sa dernière épouse avait paru
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19602,- de - pirogues . Il la secoua . Tous
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19674,"du rivage . Soudain , il fonça vers la montagne"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19681,vers la montagne comme s' il pénétrait en elle .
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19748,sur des eaux immobiles . Térii connut alors qu' on
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19789,"réservait un refuge possible : le fuyard , malgré sa"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19793,": le fuyard , malgré sa peur , creva les"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19810,"yeux emplis de soleil , il ne vit rien ,"
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19834,loin dans une nuit . Il frissonna quand l' eau
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19847,"que celle des torrents , lui mordit les pieds ."
Segalen-Victor_Les-Immemoriaux_<L' un d' eux-1205>_19852,lui mordit les pieds . Ses yeux raffermis discernaient lentement
