,text_surronding
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30803,". Une dernière fois , je lui donnai le crucifix"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30850,Adieu ! adieu ! » Je l' embrassai ; il
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30922,"les yeux ; Methol et moi , nous pleurions ."
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30927,"moi , nous pleurions . J' étais ému , bouleversé"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30933,"étais ému , bouleversé ; j' avais envie de me"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30951,plutôt à ses pieds . J' enviais presque le sort
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30966,sa paix avec Dieu ; je me disais que puisque
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30981,"à un assassin , il me pardonnerait aussi , tout"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30988,"aussi , tout pécheur que j' étais , et cependant"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30993,"j' étais , et cependant je demeurais à ma place"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_30996,"et cependant je demeurais à ma place , immobile et"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31005,et silencieux . L' aumônier me regarda quelques instants sans
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31020,il cherchait à lire sur mes traits ce qui se
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31027,"ce qui se passait dans mon cœur ; puis ,"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31039,"leva , s' approcha de moi , m' embrassa avec"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31041,"s' approcha de moi , m' embrassa avec douceur ,"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31086,"ami . » Ce que je fis alors , ce"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31092,"fis alors , ce que je sentis , ce qui"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31107,"de Jésus - Christ et moi , je ne le"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31109,"- Christ et moi , je ne le sais plus"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31115,ne le sais plus et je ne puis le dire
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31122,puis le dire ; mais je sais que lorsque je
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31126,"mais je sais que lorsque je me relevai , une"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31136,"demi - heure après , mon cœur débordait d' une"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31144,d' une joie indicible ; mes yeux étaient inondés de
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31151,"étaient inondés de larmes , j' avais déposé le fardeau"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31157,"avais déposé le fardeau de mes fautes , j' étais"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31160,"fardeau de mes fautes , j' étais réconcilié avec Dieu"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31180,"doux et bon sourire , je me jetai dans ses"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31193,"disant : « Tu es mon ami , tu es"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31198,"mon ami , tu es mon Sauveur ; je te"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31201,tu es mon Sauveur ; je te dois plus que
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31209,plus que la vie et je ne l' oublierai jamais
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31221,"Depuis ce jour béni , je revins bien souvent voir"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31238,"appuyé sur lui et sur mon ami , je restai"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31241,"et sur mon ami , je restai fidèle à mes"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31245,", je restai fidèle à mes devoirs de chrétien ,"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31251,"devoirs de chrétien , et je commençai à mener une"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31261,"vie toute nouvelle , dont je vous raconterai , au"
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31306,des Martyrs . Un de mes premiers soins après mon
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31310,de mes premiers soins après mon retour à Dieu fut
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31318,Dieu fut d' écrire à ma mère . J' avais
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31321,écrire à ma mère . J' avais besoin d' épancher
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31326,J' avais besoin d' épancher mon cœur dans le sien
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31339,rendre heureuse en lui racontant mon bonheur ; car je
Segur-Anatole-Henri-Philippe-de_Les-Memoires-d-un-troupier_<je-1487>_31343,racontant mon bonheur ; car je sentais qu' elle devait
