,text_surronding
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4355,me trouvai en face d' un garçon de 18 à
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4392,descend de sa locomotive . Il me tendit sa main
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4395,locomotive . Il me tendit sa main pas très propre
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4410,"hésitation à la prendre , il me dit avec un"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4422,bourguignon : — Vous ne me reconnaissez donc point ?
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4431,"? — Pas complètement , je vous l' avoue ."
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4446,"je vous reconnais , quoique vous soyez changé pas mal"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4457,quatre ou cinq ans que je nevous ai point vu
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4508,"voir ma mère ? — Henri , m' écriai -"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4515,"m' écriai - je , le reconnaissant tout à coup"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4523,"à coup , c' est toi , mon brave enfant"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4533,"? — Enfin , fit - il avec un bon"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4557,"- le - corps , il m' appliqua sur chaque"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4571,"de nourrice , que je lui rendis de tout mon"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4578,de tout mon cœur . Henri était un de nos
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4608,de l' école laïque . Il avait fait une excellente
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4616,"une excellente première communion , était entré au patronage des"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4624,"patronage des frères , et avait quitté Paris quelque temps"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4633,"temps après , pour suivre ses parents en Bourgogne ."
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4644,"un an ou deux , il m' avait donné de"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4649,"il m' avait donné de ses nouvelles , puis le"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4702,métamorphose était complète . — Te voilà donc redevenu Parisien
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4710,redevenu Parisien ? — Ça me fait cet effet -
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4719,"- là , puisque vous me voyez chez vous ,"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4725,"voyez chez vous , fit - il d' un ton"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4734,ton goguenard . — Et tes parents ? — Mes
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4738,Et tes parents ? — Mes parents sont restés au
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4745,sont restés au pays . Je n' avais pas assez
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4758,"les champs , et ils m' ont renvoyé ici pour"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4764,ont renvoyé ici pour gagner ma vie . — Es
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4769,ma vie . — Es - tu placé ? —
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4778,— Pour ça oui . Je suis palefrenier dans une
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4789,"grande écurie , ous que j' gagne cinq francs par"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4808,joli . Et où loges - tu ? — Eh
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4816,"— Eh bien , chez ma sœur donc ! —"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4823,donc ! — Ah ! tu as une sœur ?
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4840,ce que vous croyez que je suis un enfant trouvé
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4852,"est mariée à Paris , ma sœur ; je demeure"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4855,"Paris , ma sœur ; je demeure et je mange"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4858,sœur ; je demeure et je mange chez elle .
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4864,mange chez elle . — Tu lui paies pension ?
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4882,pas du tout ? — Je fais mieux que ça
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4888,"fais mieux que ça , je lui donne tout ce"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4894,lui donne tout ce que j' gagne . — Tout
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4906,"est très bien , et tu es un brave garçon"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4908,"bien , et tu es un brave garçon . Mais"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4915,garçon . Mais comment fais - tu pour ton linge
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4918,"comment fais - tu pour ton linge , tes chaussures"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4921,"tu pour ton linge , tes chaussures , tes vêtements"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4924,"linge , tes chaussures , tes vêtements ? — Comment"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4931,? — Comment ce que j' fais ? C' est
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4942,malaisé à deviner . Quand j' ai besoin de quéque
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4949,"besoin de quéque chose , je dis à ma sœur"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4952,"chose , je dis à ma sœur : Ma sœur"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4955,"dis à ma sœur : Ma sœur , j' ai"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4958,"sœur : Ma sœur , j' ai besoin de quéqu'"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4970,"— Bon , qu' elle me dit ; de quoi"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4976,dit ; de quoi qu' t' as besoin ? »
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4981,"t' as besoin ? » Je le lui dis ,"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_4988,"lui dis , et elle me l' achète . Vous"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5013,fait charmant . — Et ton argent de poche ?
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5019,argent de poche ? — Mon argent de poche ?
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5024,"Mon argent de poche ? je m' en passe ,"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5035,"bien si par hasard , j' ai envie de vingt"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5042,"envie de vingt sous , je lui dis : «"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5047,"je lui dis : « Ma sœur , j' ai"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5050,": « Ma sœur , j' ai envie de vingt"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5058,de vingt sous . — T' as envie de vingt
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5089,ça ! J' admirais eu l' écoutant la naïveté de
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5094,"l' écoutant la naïveté de ce brave garçon , son"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5098,"de ce brave garçon , son bon sens et son"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5102,", son bon sens et son bon cœur , et"
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5142,original à tout ce qu' il disait . Je me
Segur-Anatole-de_Les-Enfants-de-Paris_<un garçon de 18 à 19 ans-248>_5153,surtout de retrouver gravés dans son cœur et mis en
