,text_surronding
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_320,. I - LE MARCHÉ Je ne me souviens pas
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_379,"attrapé plus d' une fois mes pauvres maîtres , qui"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_406,intelligence d' un âne . Je vais commencer par vous
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_416,raconter un des tours que je leur ai joués dans
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_424,joués dans le temps de mon enfance : Les hommes
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_461,connu de tous les ânes mes amis : c' est
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_511,un jour de supplice pour mes pauvres confrères ; il
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_519,; il l' était pour moi aussi avant que je
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_523,pour moi aussi avant que je fusse acheté par ma
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_527,"que je fusse acheté par ma bonne vieille maîtresse ,"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_538,"grand' mère , chez laquelle je vis maintenant . J'"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_542,laquelle je vis maintenant . J' appartenais à une fermière
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_555,". Figurez - vous , mon cher petit maître ,"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_610,paniers qu' elle mettait sur mon dos . Et quand
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_615,mon dos . Et quand j' étais si chargé que
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_620,j' étais si chargé que je pouvais à peine avancer
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_638,- dessus des paniers et m' obligeait à trotter ainsi
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_662,lieue de la ferme . J' étais toutes les fois
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_671,"fois dans une colère que je n' osais montrer ,"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_678,"osais montrer , parce que j' avais peur des coups"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_686,des coups de bâton ; ma maîtresse en avait un
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_699,"plein de noeuds , qui me faisait bien mal quand"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_705,faisait bien mal quand elle me battait . Chaque fois
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_711,"battait . Chaque fois que je voyais , que j'"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_715,"que je voyais , que j' entendais les préparatifs du"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_722,"les préparatifs du marché , je soupirais , je gémissais"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_725,"marché , je soupirais , je gémissais , je brayais"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_728,"soupirais , je gémissais , je brayais même dans l'"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_736,"dans l' espoir d' attendrir mes maîtres . —Allons ,"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_741,"mes maîtres . —Allons , grand paresseux , me disait"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_744,"—Allons , grand paresseux , me disait - on en"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_750,"disait - on en venant me chercher , Vas -"
Segur-comtesse-de_Les-Memoires-d-un-ane_<Je-8>_754,"venant me chercher , Vas - tu te taire ,"
