,text_surronding
Segur-comtesse-de_Les-Vacances_<Paul-987>_23073,"un premier déjeuner , que Paul mangea avec délices ,"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23092,excellence du beurre normand ; il retrouvait en chaque chose
Segur-comtesse-de_Les-Vacances_<Paul-987>_23103,"souvenirs d' enfance , et il regardait avec bonheur et"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23109,regardait avec bonheur et reconnaissance son cher commandant qui lui
Segur-comtesse-de_Les-Vacances_<Paul-987>_23113,reconnaissance son cher commandant qui lui tenait lieu de père
Segur-comtesse-de_Les-Vacances_<Paul-987>_23130,", non moins heureux que Paul , répondait à ses"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23134,"que Paul , répondait à ses regards par un sourire"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23146,On sortait de table ; Paul et Marguerite saisirent chacun
Segur-comtesse-de_Les-Vacances_<Paul-987>_23166,"Il en rendit un à Paul , une douzaine à"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23208,faire connaissance ; on mena Paul voir toute la maison
Segur-comtesse-de_Les-Vacances_<Paul-987>_23252,"En apercevant son commandant , il faillit tomber à la"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23263,. M . de Rosbourg lui témoigna une grande amitié
Segur-comtesse-de_Les-Vacances_<Paul-987>_23269,témoigna une grande amitié et lui promit de revenir le
Segur-comtesse-de_Les-Vacances_<Paul-987>_23287,l' avoir toujours près de lui . Après dîner les
Segur-comtesse-de_Les-Vacances_<Paul-987>_23295,dîner les enfants demandèrent à Paul de leur raconter ses
Segur-comtesse-de_Les-Vacances_<Paul-987>_23299,à Paul de leur raconter ses aventures . Tout le
Segur-comtesse-de_Les-Vacances_<Paul-987>_23309,"monde se groupa autour de lui , et il commença"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23312,"autour de lui , et il commença ainsi : «"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23337,est fait qu' elle et moi nous soyons restés sur
Segur-comtesse-de_Les-Vacances_<Paul-987>_23352,; M . de Rosbourg me l' a expliqué depuis
Segur-comtesse-de_Les-Vacances_<Paul-987>_23363,"Quand papa , maman , mon oncle et ma tante"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23366,"maman , mon oncle et ma tante sont montés sur"
Segur-comtesse-de_Les-Vacances_<Paul-987>_23448,Des matelots enlevèrent maman et ma tante malgré leurs cris
Segur-comtesse-de_Les-Vacances_<Paul-987>_23456,leurs cris . Papa et mon oncle voulurent aller nous
Segur-comtesse-de_Les-Vacances_<Paul-987>_23496,où ils trouvèrent maman et ma tante qui nous appelaient
