,text_surronding
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_39984,", des confitures , et Dexter le boulimique , Dexter"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_39988,"et Dexter le boulimique , Dexter qui avait toujours eu"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_39989,"Dexter le boulimique , Dexter qui avait toujours eu faim"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_39996,"toujours eu faim , comme il avait toujours eu envie"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40009,"dollars à la fois , Dexter eut une nausée à"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40030,"de choses à manger . Il détourna la tête ,"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40041,prêt à vomir . — Vous ne vouiez pas boire
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40055,"De l' eau . Et il en but deux ,"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40074,reprendre haleine . — Pardonnez - moi . Tout à
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40082,"Tout à l' heure , j' irai me coucher ."
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40092,Il fallait d' abord que je vienne vous voir .
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40103,gouttes de sueur perlaient sur son front pâle et il
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40107,sur son front pâle et il se tenait à la
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40119,ce qui n' empêchait pas son grand corps maigre de
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40140,"capitaine O' Brien , qui m' a toujours pris pour"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40150,un honnête homme et qui m' a recommandé à vous
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40157,"recommandé à vous , que Dexter est une canaille ."
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40159,"vous , que Dexter est une canaille . Il poussait"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40162,Dexter est une canaille . Il poussait les billets de
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40186,vous voudrez . Ils ne m' appartiennent pas . Cette
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40196,nuit … cette nuit … Il avait l' air de
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40202,avait l' air de prendre son élan pour franchir le
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40217,"— … cette nuit , je vous ai trahi pour"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40242,"? Montez , lieutenant . Je ne suis pas seul"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40257,pas d' importance . Et le clown questionna avec un
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40274,— Ne craignez rien . Vous pouvez parler devant le
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40294,. — On fera de moi ce qu' on voudra
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40301,qu' on voudra . Cela m' est égal . Seulement
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40307,"est égal . Seulement , j' aimerais que cela aille"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40314,que cela aille vite . Il oscillait littéralement sur ses
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40318,. Il oscillait littéralement sur ses jambes . — Entrez
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40326,"— Entrez , lieutenant . Je suis heureux de faire"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40331,Je suis heureux de faire votre connaissance . Vous connaissez
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40334,de faire votre connaissance . Vous connaissez Dexter ? Peu
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40336,"votre connaissance . Vous connaissez Dexter ? Peu importe ,"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40343,"Peu importe , O' Brien le connaît . Je pense"
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40349,connaît . Je pense qu' il a des choses fort
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40360,à me dire . Voulez - vous vous asseoir dans
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40369,dans ce fauteuil pendant qu' il parle et que je
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40439,lui disant la veille que c' était un homme aussi
Simenon-Georges_Maigret-a-New-York_<Dexter le boulimique-1923>_40441,la veille que c' était un homme aussi différent de
