,text_surronding
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15268,", vous savez … — Mme Crêmieux est venue vous"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15279,? Elle rougit . — Elle est entrée en revenant
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15286,entrée en revenant de faire son marché . Elle m'
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15289,de faire son marché . Elle m' a dit comme
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15311,n' essayent pas de faire son métier . J' ai
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15461,Qu' est - ce que c' est ? — Mme
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15465,que c' est ? — Mme Crêmieux ? — Que
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15491,": — Un instant … Elle s' éloigna , sans"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15503,mettre de l' ordre dans sa toilette . Quand elle
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15507,dans sa toilette . Quand elle revint vers la porte
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15516,"porte , le bruit de ses pas n' était plus"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15524,"était plus le même , elle avait dû troquer ses"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15528,", elle avait dû troquer ses pantoufles contre des chaussures"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15534,"pantoufles contre des chaussures . Elle ouvrit à contrecœur ,"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15540,"ouvrit à contrecœur , les regarda tous les deux avec"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15553,aigus . — Entrez . Je n' ai pas fini
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15558,Je n' ai pas fini mon ménage . Elle n'
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15561,pas fini mon ménage . Elle n' en portait pas
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15573,robe noire assez habillée et elle était coiffée avec soin
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15590,"soixante - dix ans , elle était petite , maigre"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15604,une étonnante vigueur . — Vous avez un papier ?
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15610,"avez un papier ? Maigret lui montra sa médaille ,"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15616,"montra sa médaille , qu' elle examina attentivement . —"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15623,"attentivement . — C' est vous , le commissaire Maigret"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15629,", le commissaire Maigret ? Elle les faisait entrer dans"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15668,Qu' est - ce que vous désirez ? Elle s'
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15671,"ce que vous désirez ? Elle s' asseyait , assez"
Simenon-Georges_Maigret-et-la-jeune-morte_<Mme Crêmieux-771>_15681,"digne , sans pouvoir empêcher ses doigts de se crisper"
