,text_surronding
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57843,- là le repentir . Un homme survint qui apporta
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57846,repentir . Un homme survint qui apporta une distraction à
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57855,à cette préoccupation personnelle . Cet homme était un ami
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57858,personnelle . Cet homme était un ami qu' on n'
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57860,Cet homme était un ami qu' on n' avait pas
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57869,pas vu depuis longtemps : c' était d' Aspert .
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57871,depuis longtemps : c' était d' Aspert . Il avait
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57874,c' était d' Aspert . Il avait d' abord hésité
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57885,"venir chez Lussay , car il savait que ses opinions"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57888,", car il savait que ses opinions étaient pour le"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57898,pouvoir qui dominait ; mais il avait appris la mort
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57909,"madame de Lussay , et il avait compté sur cette"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57920,pour être bien accueilli . Il entra . Un coup
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57929,coup d' œil suffit pour lui montrer qu' il y
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57946,"se jetèrent avec chaleur dans ses bras , mais sans"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_57961,sans s' y rencontrer . D' Aspert remarqua qu' Henriette
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58080,"vous peindre l' étonnement attendri du vieux d' Aspert ,"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58092,jeune Henriette de vingt ans lui dit en pressant dans
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58105,et effilées les rudes mains du soldat toutes calleuses du
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58124,! je suis heureuse de vous voir ! je suis
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58132,je suis bien heureuse ! Il vint une larme aux
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58139,"une larme aux yeux de d' Aspert , mais il"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58143,"de d' Aspert , mais il n' osa embrasser Henriette"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58181,"un asile , sans qu' il sût si elle en"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58189,"elle en avait besoin , il lui répondit par une"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58205,": — Eh bien ! me voilà , me voilà"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58208,"bien ! me voilà , me voilà ; soyez tranquille"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58211,"voilà , me voilà ; soyez tranquille . Puis on"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58219,"Puis on causa . — J' avoue , dit le"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58223,"— J' avoue , dit le général , que je"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58227,"dit le général , que je craignais de ne pas"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58232,je craignais de ne pas vous trouver à Paris .
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58238,"trouver à Paris . On m' avait dit , à"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58246,", à Poitiers , que vous comptiez être nommé à"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58259,". — Non , dit Lussay ; c' est monsieur"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58295,— Et l' on ne vous a pas trouvé assez
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58303,trouvé assez pur ? dit d' Aspert . — Ce
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58314,"est pas cela , reprit l' ancien chirurgien ; c'"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58320,ancien chirurgien ; c' est moi qui ai refusé ;
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58321,chirurgien ; c' est moi qui ai refusé ; moi
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58325,"moi qui ai refusé ; moi , à qui tout"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58328,"refusé ; moi , à qui tout avenir d' ambition"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58339,"fermé , non pas que j' y tienne pour moi"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58343,"que j' y tienne pour moi , mais je voulais"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58346,"tienne pour moi , mais je voulais pour Henriette ."
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58354,"Henriette . . . Puis il s' arrêta , et"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58359,"il s' arrêta , et reprit vivement en s' adressant"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58364,reprit vivement en s' adressant au général : — Mais
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58369,"au général : — Mais vous , d' Aspert ."
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58371,": — Mais vous , d' Aspert . . ."
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58376,"d' Aspert . . . vous , que devenez -"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58380,". vous , que devenez - vous ? — On"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58385,- vous ? — On m' a rangé dans la
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58397,des officiers ; autant valait me mettre à la retraite
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58404,"à la retraite , et j' ai reçu en outre"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58417,aller habiter le département où je suis né . —
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58422,je suis né . — Vous n' êtes pas heureux
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58431,"heureux non plus , dit Lussay avec amertume ; aussi"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58436,Lussay avec amertume ; aussi vous avez l' air triste
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58446,". — Oh ! dit d' Aspert , ce n'"
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58455,n' est pas cela qui me rend triste ; j'
Soulie-Frederic_Le-Magnetiseur_<Un homme-2348>_58459,qui me rend triste ; j' ai vu tomber tant
