,text_surronding
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52347,"son retour à Béyanes , Madeleine avait passé des jours"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52404,satisfait à la fonderie que la jeune femme ne doutait
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52428,"grand calme d' esprit , elle acceptait le présent et"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52433,elle acceptait le présent et jouissait par avance de l'
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52445,"Encore un mois , et Mme Deformont serait à Béyanes"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52454,Béyanes . Quelle joie de la revoir ! Puis elle
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52458,de la revoir ! Puis elle attendait sa mère à
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52460,revoir ! Puis elle attendait sa mère à la fin
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52479,bonheur ! Geneviève était pour sa tante une aimable et
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52487,aimable et attachante occupation . La jeune fille l' aimait
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52490,occupation . La jeune fille l' aimait passionnément ; elle
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52494,fille l' aimait passionnément ; elle l' aimait avec cette
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52495,l' aimait passionnément ; elle l' aimait avec cette exclusion
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52506,cet emportement qui caractérisait toutes ses affections . Cette nature
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52536,exaltée par les qualités de sa tante . Elle admirait
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52539,"qualités de sa tante . Elle admirait son visage ,"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52541,"sa tante . Elle admirait son visage , mais elle"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52545,"admirait son visage , mais elle admirait tout autant les"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52552,tout autant les qualités de son cœur . Leur mutuelle
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52579,elles s' entendaient toujours . La vicomtesse avait une grande
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52586,"avait une grande influence sur la jeune fille , et"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52591,"la jeune fille , et s' en servait pour modérer"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52592,"jeune fille , et s' en servait pour modérer cette"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52593,"fille , et s' en servait pour modérer cette fougue"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52600,modérer cette fougue qui souvent l' effrayait . Elle savait
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52603,"qui souvent l' effrayait . Elle savait , par expérience"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52624,"tendresse , on obtenait de Geneviève ce qui d' abord"
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52639,ce qui devait le plus lui coûter ; mais elle
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52643,plus lui coûter ; mais elle savait aussi qu' à
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52675,néanmoins plus que jamais dans Mlle de Béyanes une séduction
Thuret-Mme-E._La-Guerre-au-chateau_<Madeleine-1813>_52683,"une séduction irrésistible , car ses défauts n' étaient que"
