,text_surronding
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62870,"- là , et si votre amie Mme de Saint"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62891,un homme d' argent qu' elle aura séduit . La
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62939,"On m' a dit que vous alliez vous marier ,"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62944,"vous alliez vous marier , mademoiselle ? — Qui vous"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62948,", mademoiselle ? — Qui vous a dit cela ?"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62954,a dit cela ? demanda Pauline en rougissant . —
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62965,"un qui voulait d' abord me retirer toute espérance ,"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62983,"est vrai , monsieur , je me marie ; je"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62987,", je me marie ; je fais un mariage d'"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_62995,mariage d' amour . — Vous avez raison de dire
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63001,avez raison de dire que vous faites ce mariage -
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63015,- à - dire que votre imagination l' invente .
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63028,vous abusez du droit que vous donne ce salon .
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63040,"voyez bien que non , mademoiselle , puisque je vous"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63044,", mademoiselle , puisque je vous estime et que je"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63049,"vous estime et que je vous parle avec respect ,"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63065,D' où vient alors que vous mettez en doute l'
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63092,"nous causons ensemble , je vous ai devinée ; c'"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63100,"; c' est que je vous connais , mademoiselle ."
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63103,"que je vous connais , mademoiselle . Vous êtes ce"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63105,"vous connais , mademoiselle . Vous êtes ce que j'"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63125,ont consolé et refroidi . Vous êtes ma sœur !
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63133,"sœur ! Oh ! ne vous effarouchez pas , ce"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63139,"effarouchez pas , ce titre vous garantit . Nous sommes"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63163,"ne pas gravir ; et vous , vous vous mettez"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63165,"gravir ; et vous , vous vous mettez en route"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63211,"suie clans les yeux ; vous , vous allez intrépidement"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63213,"les yeux ; vous , vous allez intrépidement à ce"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63220,intrépidement à ce foyer . Vous mourrez dans les cendres
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63227,"dans les cendres , où vous vous jetterez à travers"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63246,"jeune fille honnête ( et Vous l' êtes , Mme"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63277,"fille honnête , douée de votre énergie , qui vient"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63307,"que j' ai saisie dans vos paroles , n' est"
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63328,. Je ne connais pas votre futur ; mais il
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63353,ait bien du génie pour vous rendre heureuse ! —
Ulbach-Louis_Pauline-Foucault_<votre amie Mme de Saint - Ovide-2273>_63362,— C' est Adèle qui vous a conseillé de me
