,text_surronding
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36676,". — Non , dit Camille . — Et pourquoi"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36814,"Mais ce n' est pas mon affaire , dit soudain"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36819,"mon affaire , dit soudain Camille en les regardant tour"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36827,regardant tour à tour . Je ne sais pas pourquoi
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36835,pas pourquoi vous êtes venus me raconter ça mais je
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36839,venus me raconter ça mais je ne voulais pas le
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36846,voulais pas le savoir et je ne discute pas avec
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36862,les ouvreurs de bide . Elle alla à la porte
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36869,"à la porte et l' ouvrit . — Salut ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36875,". — Salut , dit - elle . — Tu"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36911,a du chagrin . — Je sais . — Il
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36938,ne bougent pas . — Je sais . On a
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36954,"Alors , le Veilleux et moi … — Vous allez"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36957,Veilleux et moi … — Vous allez lui coller au
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36964,"lui coller au cul . J' ai bien saisi ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36969,"J' ai bien saisi , Sol . J' ai bien"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36971,"bien saisi , Sol . J' ai bien saisi toute"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36983,". — Pas toute , Camille . — Il manque"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36994,bricole ? — Il manque toi . On ne t'
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_36998,manque toi . On ne t' a pas expliqué que
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37003,t' a pas expliqué que tu faisais partie de l'
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37010,partie de l' opération . Tu pars avec nous .
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37024,"poliment le Veilleux , si vous voulez bien . —"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37035,est une blague ? dit Camille . — Explique -
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37046,", commanda le Veilleux à Soliman . — Camille ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37049,"Veilleux à Soliman . — Camille , dit Soliman ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37052,". — Camille , dit Soliman , tu ne veux"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37054,"Camille , dit Soliman , tu ne veux pas lâcher"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37067,et venir t' asseoir ? T' asseoir là avec nous
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37093,et plombier . — Mais tu ne veux pas venir
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37112,"Vu comme ça , dit Camille . Elle claqua la"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37114,"ça , dit Camille . Elle claqua la porte et"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37119,Elle claqua la porte et s' assit sur un tabouret
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37140,". — Voilà , dit Soliman . Moi et le"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37142,"Voilà , dit Soliman . Moi et le Veilleux ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37149,"le Veilleux , on va lui coller au cul ."
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37158,". — Bon , dit Camille . — Mais pour"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37187,— Allez - y comme vous voulez . À pied
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37206,qu' est - ce que tu veux que ça me
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37210,que tu veux que ça me foute ? — Massart
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37214,"ça me foute ? — Massart , continua Soliman ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37217,"? — Massart , continua Soliman , a sûrement pris"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37235,"tous les cas , dit Camille . La fourgonnette est"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37246,"là - haut . — Il est pas stupide ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37251,"Il est pas stupide , le vampire . Il a"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37254,"stupide , le vampire . Il a pris une autre"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37265,. — Très bien . Il en a pris une
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37277,"— Alors nous , on le suit en voiture ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37282,"le suit en voiture , tu saisis ? — Je"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37286,", tu saisis ? — Je saisis . Tu lui"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37289,? — Je saisis . Tu lui colles au cul
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37290,— Je saisis . Tu lui colles au cul .
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37321,. — Eh bien prends - en une . Celle
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37327,en une . Celle de Massart par exemple . —
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37356,"pas . — Où veux - tu en venir ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37361,"- tu en venir , Sol ? Je n' ai"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37363,"en venir , Sol ? Je n' ai pas de"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37390,"a un camion , dit Soliman . — Tu parles"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37393,", dit Soliman . — Tu parles de la bétaillère"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37402,bétaillère ? — Ouais . Tu le dirais peut -
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37421,"— Eh bien parfait , Sol , dit Camille en"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37424,"parfait , Sol , dit Camille en soupirant . Prends"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37432,. Prends la bétaillère et colle - lui au cul
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37433,Prends la bétaillère et colle - lui au cul et
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37446,"— Mais c' est comme je te le disais ,"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37447,"Mais c' est comme je te le disais , Camille"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37451,"je te le disais , Camille . On n' a"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37470,"Veilleux . — Tandis que toi , tu l' as"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37472,"— Tandis que toi , tu l' as , le"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37480,", le permis . Et t' as déjà conduit des"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37488,conduit des poids lourds . Camille les regarda l' un
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37491,lourds . Camille les regarda l' un et l' autre
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37500,"autre , incrédule . — T' as mis du temps"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37506,"as mis du temps à me comprendre , dit Soliman"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37510,"à me comprendre , dit Soliman . — Je n'"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37513,", dit Soliman . — Je n' ai pas envie"
Vargas-Fred_L-homme-a-l-envers_<Camille-1543>_37519,n' ai pas envie de te comprendre . — Alors
