,text_surronding
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43709,— Oui . Dis à Lucien de descendre . Il
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43713,à Lucien de descendre . Il va prendre la relève
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43728,"au plafond pour faire venir le contemporanéiste . Clément ,"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43747,"qu' il était là , le regardait faire en souriant"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43779,"tomber , confirma Marc . Tu vas voir . Une"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43788,"Une minute plus tard , Lucien dégringolait les escaliers et"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43793,"Lucien dégringolait les escaliers et entrait dans le réfectoire ,"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43805,main . — C' est mon quart ? demanda -
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43811,quart ? demanda - t - il . — Oui
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43819,"— Oui . Veille sur lui , il était un"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43821,". Veille sur lui , il était un peu agité"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43831,tout à l' heure . Lucien fit un petit salut
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43839,"petit salut militaire , et repoussa d' un coup de"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43848,de tête la mèche qui lui barrait le regard .
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43855,"le regard . — Ne t' en fais pas ,"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43861,"en fais pas , dit - il . Tu vas"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43864,", dit - il . Tu vas loin ? —"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43889,"Ah , charmant . Si tu croises Clemenceau , transmets"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43902,"bonjour . Bonne route , soldat . Et Lucien ,"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43905,"route , soldat . Et Lucien , sans plus s'"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43920,"installa sur le banc , sourit à Clément et ouvrit"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43924,", sourit à Clément et ouvrit son livre : 1914"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43925,sourit à Clément et ouvrit son livre : 1914 -
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43937,La Culture héroïque . 21 Louis avait accepté de prendre
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43962,dans la nuit . — Il est tout de même
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43972,"bizarre , non ? dit Louis . — Il ne"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43975,? dit Louis . — Il ne pouvait pas savoir
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43981,"ne pouvait pas savoir que tu cherchais le Sécateur ,"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43983,"pas savoir que tu cherchais le Sécateur , dit Marc"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_43991,dit Marc . Il faut le comprendre . — Non
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44000,"Non , je parle de ton collègue , Lucien ."
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44003,"parle de ton collègue , Lucien . Il est bizarre"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44005,"ton collègue , Lucien . Il est bizarre . Je"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44009,. Il est bizarre . Je trouve . Marc se
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44028,"le droit illimité de dénigrer Lucien et Mathias , et"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44036,", et d' insulter violemment l' un ou l' autre"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44039,"insulter violemment l' un ou l' autre , mais il"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44059,"cheveu , fût - ce Louis . — Il n'"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44062,- ce Louis . — Il n' est pas bizarre
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44071,"bizarre du tout , répondit - il d' une voix"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44088,Je ne sais pas comment tu le supportes toute l'
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44089,ne sais pas comment tu le supportes toute l' année
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44109,"— Ça va , ne t' emporte pas . Ce"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44113,ne t' emporte pas . Ce n' est quand même
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44119,n' est quand même pas ton frère . — Qu'
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44128,Qu' est - ce que t' en sais ? —
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44145,que j' ai dit . Je me demande seulement si
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44152,demande seulement si on peut lui faire confiance . Ça
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44157,lui faire confiance . Ça m' inquiète de lui confier
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44160,". Ça m' inquiète de lui confier Clément , il"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44164,"de lui confier Clément , il ne donne pas l'"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44193,nuit la haute silhouette de l' Allemand . Lucien saisit
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44196,silhouette de l' Allemand . Lucien saisit très bien la
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44203,très bien la situation et ce type est plus intelligent
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44209,type est plus intelligent que toi et moi réunis .
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44216,"moi réunis . Alors , tu n' as vraiment pas"
Vargas-Fred_Sans-feu-ni-lieu_<Lucien-1488>_44228,en faire . — Si tu le dis . Marc
