,text_surronding
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1576,il se décida à demander la fille du vieux baron
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1587,"Lannezec , son voisin . Françoise de Lannezec aurait bien"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1600,tant le caractère d' Alain lui faisait peur ; mais
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1613,"baron consentit avec empressement , la jeune fille obéit à"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1618,la jeune fille obéit à son père . Alain oublia
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1629,brusqueries sans sujet près d' une femme douce et bonne
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1644,prit bientôt sur son époux un ascendant qu' elle conserva
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1679,moururent en bas âge . Noémi annonçait un caractère doux
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1689,et bon comme celui de sa mère . Mme de
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1714,le choléra de 1832 vint l' enlever à sa famille
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1717,"1832 vint l' enlever à sa famille , en même"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1729,"le terrible fléau frappait aussi son père , qui était"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1739,venu résider à Kervoz . Noémi avait alors six ans
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1749,". A cet âge , elle ne pouvait comprendre la"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1756,"pouvait comprendre la perte qu' elle faisait , et tout"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1767,s' en effaça bientôt de sa mémoire . Après s'
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1795,fille . Un signe de Noémi le faisait courir où
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1803,courir où bon semblait à l' espiègle enfant ; un
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1851,avec joie cette proposition . Noémi allait retrouver une mère
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1858,"retrouver une mère , et elle aurait une sœur dans"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1863,"elle aurait une sœur dans sa cousine Claire , plus"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1870,"Claire , plus âgée qu' elle d' une année ."
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1924,"fougueux seigneur de Kervoz que Noémi , timide , faible"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1972,on grondât sa nièce lorsqu' elle se laissait entraîner à
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1990,une excuse aux fautes de l' enfant en songeant à
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_1995,l' enfant en songeant à ses propres penchants . Mme
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2034,"« Occupe - toi de Noémi , ma chère Yolande"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2047,M . de Kervoz : elle est digne d' être
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2055,"d' être ta fille ; elle est aussi douce ,"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2064,", aussi timide que tu l' étais à son âge"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2067,que tu l' étais à son âge . Laisse -
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2074,. Laisse - moi diriger Claire : c' est ma
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2076,- moi diriger Claire : c' est ma favorite .
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2086,Ah ! pourquoi n' est - elle pas un garçon
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2099,aurais de bonheur à faire son éducation ! » Mais
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2105,éducation ! » Mais lorsque Claire eut atteint sa quatorzième
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2108,"Mais lorsque Claire eut atteint sa quatorzième année , Mme"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2125,", prit le parti de la mettre en pension ,"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2144,"Kervoz et les larmes de Noémi , elle conduisit sa"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2158,"Oiseaux , à Paris . Noémi désirait accompagner sa cousine"
Vattier-d-Ambroyse-Valentine_Claire-de-Rives_<la fille du vieux baron de Lannezec-93>_2161,"Paris . Noémi désirait accompagner sa cousine ; mais ,"
