,text_surronding
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8746,– Halte - là ! monsieur l' auteur . Vous
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8750,! monsieur l' auteur . Vous moquez - vous avec
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8755,Vous moquez - vous avec votre titre qui ne tient
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8780,"Un mot , s' il vous plaît . Comment d'"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8805,soit si court relativement que vous vous voyiez forcé de
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8850,ambitieuse appellation le nom de vos choses pour la scène
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8894,", composent ce volume , je ne fais que suivre"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8906,"contemporains . Puis , si j' ai fondu et non"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8925,", qui vous dit que je n' ai pas eu"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_8930,je n' ai pas eu mes raisons ? – Bien
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9014,"Autobiographiquement parlant non , mais j' ai le droit très"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9091,". Veuf , l' êtes - vous ? – Je"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9095,êtes - vous ? – Je le suis . –
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9102,suis . – Alors pourquoi votre livre a - t
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9131,ce sujet . N' êtes - vous pas bien sévère
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9144,"? – Ah çà , m' allez - vous aussi"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9146,"Ah çà , m' allez - vous aussi reprocher d'"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9235,mort tardive ? … – Me laisserez - vous parler
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9237,? … – Me laisserez - vous parler ? –
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9250,"oreilles . – Oui , je vous trouve sévère à"
Verlaine-Paul_Les-memoires-d-un-veuf_<monsieur l' auteur-555>_9251,". – Oui , je vous trouve sévère à l'"
