,text_surronding
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62733,"Torrès se tenait auprès de Joam Garral , qui ,"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62736,"auprès de Joam Garral , qui , la tête inclinée"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62746,", semblait profondément abîmé dans ses réflexions , et ,"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62755,", à ce moment , lui mettant la main sur"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62763,"main sur l' épaule :« Joam Garral , lui dit"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62766,"épaule :« Joam Garral , lui dit - il ,"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62768,"Joam Garral , lui dit - il , pourrais -"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62772,"dit - il , pourrais - je avoir avec vous"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62776,pourrais - je avoir avec vous un quart d' heure
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62785,heure d' entretien ? » Joam Garral regarda Torrès .
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62788,? » Joam Garral regarda Torrès . « Ici ?
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62794,. « Ici ? répondit - il . Non !
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62834,"que chacun éprouva , lorsque Joam Garral et Torrès eurent"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62852,y avoir de commun entre cet aventurier et l' honnête
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62906,"quoi qu' il arrive , cet homme débarquera demain à"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62926,Manoel . Et si par lui … oui ! par
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62931,"lui … oui ! par lui , quelque malheur arrive"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62941,à mon père … je le tuerai ! »Depuis un
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62963,"entendre ni les voir , Joam Garral et Torrès se"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_62989,? Comprenait - il que Joam Garral ne répondrait que
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_63001,"silence dédaigneux aux demandes qui lui seraient faites ?Oui ,"
Verne-Jules-_La-Jangada-huit-cent-lieues-sur-l-Amazone_<Joam Garral-3644>_63039,"d' un accusateur . « Joam , dit - il"
