,text_surronding
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79235,nacelle . L' histoire de Joe . – L' île
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79310,cri . Qu' était devenu Joe pendant les vaines recherches
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79316,pendant les vaines recherches de son maître ?Lorsqu' il se
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79319,recherches de son maître ?Lorsqu' il se fut précipité dans
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79327,"précipité dans le lac , son premier mouvement à la"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79342,"yeux en l' air ; il vit le Victoria ,"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79379,"disparaître vers le nord . Son maître , ses amis"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79382,"nord . Son maître , ses amis étaient sauvés ."
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79394,"est heureux , se dit - il , que j'"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79398,"dit - il , que j' aie eu cette pensée"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79435,"pas hésité à faire comme moi , car il est"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79462,"»Rassuré sur ce point , Joe se mit à songer"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79470,à songer à lui ; il était au milieu d'
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79501,en ne comptant que sur lui ; il ne s'
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79503,comptant que sur lui ; il ne s' effraya donc
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79522,"proie , qui , selon lui , s' étaient conduits"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79532,"comme de vrais gypaètes , il avait avisé une île"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79541,île à l' horizon ; il résolut donc de se
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79551,"diriger vers elle , et se mit à déployer toutes"
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79556,se mit à déployer toutes ses connaissances dans l' art
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79576,partie la plus gênante de ses vêtements ; il ne
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79579,gênante de ses vêtements ; il ne s' embarrassait guère
Verne-Jules_Cinq-Semaines-en-ballon_<Joe-4260>_79597,"; aussi , tant qu' il fut en plein lac"
