,text_surronding
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232655,se faisait - il que Cyrus Smith connût le capitaine
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232688,ignoré de tous ? … Le capitaine avait repris place
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232701,", et , appuyé sur son bras , il regardait"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232704,"appuyé sur son bras , il regardait l' ingénieur ,"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232712,"ingénieur , placé près de lui . « Vous savez"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232720,"Vous savez le nom que j' ai porté , monsieur"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232729,monsieur ? demanda - t - il . – Je
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232763,dit en souriant à demi le capitaine . – Le
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232780,… savez - vous qui je suis ?– Je le
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232783,vous qui je suis ?– Je le sais . –
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232795,a pourtant trente années que je n' ai plus aucune
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232809,"habité , trente ans que je vis dans les profondeurs"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232822,", le seul milieu où j' aie trouvé l' indépendance"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232833,Qui donc a pu trahir mon secret ?– Un homme
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232846,"jamais pris d' engagement envers vous , capitaine Nemo ,"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232848,"d' engagement envers vous , capitaine Nemo , et qui"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232872,que le hasard jeta à mon bord il y a
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232914,"ont pas péri , et il a paru , sous"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232933,", un ouvrage qui contient votre histoire . – Mon"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232937,contient votre histoire . – Mon histoire de quelques mois
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232944,"de quelques mois seulement , monsieur ! répondit vivement le"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232948,", monsieur ! répondit vivement le capitaine . – Il"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232970,vie étrange ont suffi à vous faire connaître … –
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232984,", sans doute ? répondit le capitaine Nemo , en"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_232992,", en laissant passer sur ses lèvres un sourire hautain"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233031,"n' ai point à juger le capitaine Nemo , répondit"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233036,"le capitaine Nemo , répondit Cyrus Smith , du moins"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233045,moins en ce qui concerne sa vie passée . J'
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233049,"concerne sa vie passée . J' ignore , comme tout"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233068,"cette étrange existence , et je ne puis juger des"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233082,"causes ; mais ce que je sais , c' est"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233132,", généreux et bon , c' est vous , capitaine"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233134,"et bon , c' est vous , capitaine Nemo !–"
Verne-Jules_L-Ile-Mysterieuse_<Cyrus Smith-11444>_233136,", c' est vous , capitaine Nemo !– C' est"
