,text_surronding
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39847,"Kong , que Fix et Passepartout étaient entrés avec l'"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39857,intention de se rafraîchir . Passepartout n' avait pas d'
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39865,"pas d' argent , mais il accepta volontiers la «"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39873,"la « politesse » de son compagnon , quitte à"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39879,"compagnon , quitte à la lui rendre en temps et"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39957,"avancé de quelques heures , Passepartout , les bouteilles étant"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39971,", afin d' aller prévenir son maître . Fix le"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39975,prévenir son maître . Fix le retint . « Un
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39989,"il . – Que voulez - vous , monsieur Fix"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_39998,Fix ?– J' ai à vous parler de choses sérieuses
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40011,choses sérieuses ! s' écria Passepartout en vidant quelques gouttes
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40022,vin restées au fond au son verre . Eh bien
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40033,nous en parlerons demain . Je n' ai pas le
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40052,". Il s' agit de votre maître ! »Passepartout ,"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40063,"ce mot , regarda attentivement son interlocuteur . L' expression"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40072,expression du visage de Fix lui parut singulière . Il
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40087,est - ce donc que vous avez à me dire
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40090,donc que vous avez à me dire » demanda -
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40096,dire » demanda - t - il . Fix appuya
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40115,", baissant la voix :« Vous avez deviné qui j'"
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40119,:« Vous avez deviné qui j' étais ? lui demanda
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40122,deviné qui j' étais ? lui demanda - t -
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40133,. – Parbleu ! dit Passepartout en souriant . –
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40139,en souriant . – Alors je vais tout vous avouer
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40142,– Alors je vais tout vous avouer … – Maintenant
Verne-Jules_Le-tour-du-monde-en-quatre-vingts-jours_<Passepartout-2420>_40148,"avouer … – Maintenant que je sais tout , mon"
