,text_surronding
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61779,propre que son mariage avec Gilberte lui avait causées .
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61846,"faillit crier de surprise . Gilberte était devant lui ,"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61869,révolte secoua de Fragon :– Vous ! Oh ! à
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61898,"– J' ai tenu à vous voir , à vous"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61902,"à vous voir , à vous parler . . ."
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61921,"Si . . . pour moi , il le fallait"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61927,", il le fallait . Elle se tut , intimidée"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61936,intimidée par l' hostilité qu' elle lisait dans les yeux
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61943,dans les yeux fixés sur elle . Il la regardait
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61946,"fixés sur elle . Il la regardait , l' air"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61959,"à accepter cet entretien . Elle devinait sa pensée ,"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61965,"devinait sa pensée , car elle restait près de la"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61974,"la porte , digne dans sa tristesse et semblant opposer"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_61984,"à un renvoi brutal , son immobilité de statue ."
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62007,"que toujours froid , il lui indiqua de la main"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62016,main un fauteuil rapproché . Elle s' assit . Dans
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62021,"Elle s' assit . Dans ses grands yeux sombres ,"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62039,cils . – Que voulez - vous encore de moi
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62075,"dire . – Si , j' ai tenu à vous"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62082,"tenu à vous voir , moi ! Je ne veux"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62084,"vous voir , moi ! Je ne veux pas que"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62090,ne veux pas que vous me quittiez ainsi . Il
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62105,"des derniers mots , car il répliqua :– Tout ce"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62115,que vous pourrez dire ne me fera pas changer d'
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62126,". – Soit . Vous me quitterez , puisque telle"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62162,vous en rendiez compte . Elle ne perçut pas l'
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62171,"l' ironie du ton et continua , la voix affermie"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62188,plus d' importance encore à ses paroles :– Mais ce
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62205,"de Fragon , c' est m' accabler d' un tort"
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62211,accabler d' un tort que j' ignore . J' ai
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62214,tort que j' ignore . J' ai cherché en vain
Veuzit-Max-du_Mariage-dore_<Gilberte-1793>_62226,"six semaines , en quoi j' avais pu vous déplaire"
