,text_surronding
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15622,", debout derrière moi , le bon amiral Collingwood ."
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15627,le bon amiral Collingwood . Il avait à la main
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15632,Il avait à la main sa lunette de nuit et
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15637,sa lunette de nuit et il était vêtu de son
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15641,et il était vêtu de son grand uniforme avec la
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15650,la rigide tenue anglaise . Il me mit une main
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15672,air de mélancolie profonde dans ses grands yeux noirs et
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15678,grands yeux noirs et sur son front . Ses cheveux
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15681,"et sur son front . Ses cheveux blancs , à"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15693,", tombaient assez négligemment sur ses oreilles , et il"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15707,travers le calme inaltérable de sa voix et de ses
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15711,"de sa voix et de ses manières , un fond"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15731,", et me donna pour lui , tout d' abord"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15750,"Vous êtes déjà triste , mon enfant , me dit"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15755,"mon enfant , me dit - il . J' ai"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15758,me dit - il . J' ai quelques petites choses
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15774,vous causer un peu avec moi ? Je balbutiai quelques
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15796,"sens commun probablement , car il ne les écouta pas"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15802,ne les écouta pas et s' assit sur un banc
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15817,. J' étais debout devant lui . — Vous n'
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15830,"depuis un mois , reprit - il , et je"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15834,"reprit - il , et je le suis depuis trente"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15835,"- il , et je le suis depuis trente -"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15845,"trois ans . Oui , mon ami , je suis"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15848,"Oui , mon ami , je suis prisonnier de la"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15856,de la mer ; elle me garde de tous côtés
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15869,flots et des flots ; je ne vois qu' eux
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15875,"ne vois qu' eux , je n' entends qu' eux"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15881,n' entends qu' eux . Mes cheveux ont blanchi sous
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15890,"sous leur écume , et mon dos s' est un"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15901,voûté sous leur humidité . J' ai passé si peu
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15912,"temps en Angleterre , que je ne la connais que"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15928,est un être idéal que je n' ai fait qu'
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15937,"qu' entrevoir , mais que je sers en esclave et"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15940,mais que je sers en esclave et qui augmente pour
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15945,esclave et qui augmente pour moi de rigueur à mesure
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15951,de rigueur à mesure que je deviens plus nécessaire .
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15986,sont quelquefois bien lourdes . Il s' interrompit un instant
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_15999,"tûmes tous deux , car je n' aurais pas osé"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16010,"un mot , voyant qu' il allait poursuivre . —"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16015,"il allait poursuivre . — J' ai bien réfléchi ,"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16020,"J' ai bien réfléchi , me dit - il ,"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16022,"bien réfléchi , me dit - il , et je"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16026,"dit - il , et je me suis interrogé sur"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16031,je me suis interrogé sur mon devoir quand je vous
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16034,interrogé sur mon devoir quand je vous ai eu à
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16035,sur mon devoir quand je vous ai eu à mon
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16039,je vous ai eu à mon bord . J' aurais
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16042,eu à mon bord . J' aurais pu vous laisser
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16045,bord . J' aurais pu vous laisser conduire en Angleterre
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16061,tomber dans une misère dont je vous garantirai toujours et
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16062,dans une misère dont je vous garantirai toujours et dans
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16070,et dans un désespoir dont j' espère aussi vous sauver
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16073,désespoir dont j' espère aussi vous sauver ; j' avais
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16076,espère aussi vous sauver ; j' avais pour votre père
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16079,sauver ; j' avais pour votre père une amitié bien
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16087,"amitié bien vraie , et je lui en donnerai ici"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16097,"une preuve ; s' il me voit , il sera"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16104,", il sera content de moi , n' est -"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16112,est - ce pas ? L' amiral se tut encore
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16118,amiral se tut encore et me serra la main .
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16119,se tut encore et me serra la main . Il
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16123,me serra la main . Il s' avança même dans
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16131,"même dans la nuit et me regarda attentivement , pour"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16132,"dans la nuit et me regarda attentivement , pour voir"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16139,", pour voir ce que j' éprouvais à mesure qu'"
Vigny-Alfred-de_La-vie-et-la-mort-du-capitaine-Renaud-ou-La-canne-de-jonc--souvenirs-de-grandeur-militaire_<le bon amiral Collingwood-757>_16144,j' éprouvais à mesure qu' il me parlait . Mais
