,text_surronding
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27334,"au bord du naphte , l' humain s' agitait dans"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27339,l' humain s' agitait dans son continuum de cabanes vides
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27352,", habitables ou pourries . Il préparait une collation pour"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27436,au départ de Wong ? L' humain avait - il
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27439,Wong ? L' humain avait - il prévu de mentionner
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27462,"près de la cabane , l' humain se tint devant"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27477,rompait avec l' assurance dont il avait fait preuve jusqu'
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27485,preuve jusqu' à présent . Il était beaucoup plus nerveux
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27491,"était beaucoup plus nerveux . Il s' était débarbouillé ,"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27498,"était débarbouillé , et maintenant il transpirait à grosses gouttes"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27525,", ou autre chose . Il ne s' était pas"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27532,"s' était pas débarrassé de son chapeau de brousse ,"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27538,"chapeau de brousse , mais il avait enlevé ses vêtements"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27541,", mais il avait enlevé ses vêtements du haut et"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27546,"ses vêtements du haut et sa paire de jumelles ,"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27565,"chiffon déchiré . On voyait sa peau luisante , d'"
Volodine-Antoine_Nos-animaux-preferes_<l' humain-1202>_27597,"Des mouches se posaient sur ses mamelles , des libellules"
