,text_surronding
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9883,"cela : notre âme , je suppose , n' a"
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9912,ou trois pauvres notes . Je me rappelle l' atroce
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9935,"pour s' y abandonner , mes excès de musique ,"
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9940,"mes excès de musique , mon besoin maladif de perfection"
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9959,une transposition du désir . Je me rappelle certaines larmes
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9979,pas de quoi pleurer ; je reconnais que toutes mes
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9983,; je reconnais que toutes mes expériences de la douleur
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_9994,déjà dans la première . J' ai pu souffrir davantage
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10000,"ai pu souffrir davantage , je n' ai pas souffert"
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10034,sur sa cause . Si j' avais cru quelque chose
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10040,"avais cru quelque chose , j' aurais cru être épris"
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10051,"une femme . Seulement , je n' imaginais pas laquelle"
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10057,n' imaginais pas laquelle . Je fus mis au collège
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10065,au collège de Presbourg . Ma santé n' était pas
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10084,; tout cela avait retardé mon départ . Mais l'
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10104,et l' on pensait que mon goût pour la musique
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10110,goût pour la musique contrariait mes études . C' est
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10131,pas meilleures au collège ; j' étais un élève très
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10138,un élève très médiocre . Mon séjour dans cette académie
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10149,d' ailleurs extrêmement bref ; je passai à Presbourg un
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10162,"deux ans . Bientôt , je vous dirai pourquoi ."
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10188,ou du moins rien ne m' arriva . J' avais
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10191,rien ne m' arriva . J' avais seize ans .
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10196,J' avais seize ans . J' avais toujours vécu replié
Yourcenar-Marguerite_Alexis-ou-le-Traite-du-Vain-Combat-Le-Coup-de-Grace_<je-297>_10202,avais toujours vécu replié sur moi - même ; les
