,text_surronding
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_59969,"se rendit , accompagné de Bartholomeo , dans la chambre"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60010,"juif , soupçonneux . – Je n' en sais rien"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60017,en sais rien ! répondit Bartholomeo tremblant . – Un
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60044,encore dans l' auberge . Je pense que c' est
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60060,", vol ou sorcellerie , vous me rendrez ce que"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60061,"vol ou sorcellerie , vous me rendrez ce que je"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60065,vous me rendrez ce que je vous ai versé pour
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60066,me rendrez ce que je vous ai versé pour les
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60074,pour les hardes et ne garderez que le prix du
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60092,"au fond , soupçonnait fort le digne Bartholomeo de lui"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60112,"l' écurie , suivi de l' aubergiste , atterré par"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60163,"Cette fois , les soupçons du juif s' étaient dissipés"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60170,s' étaient dissipés . Que l' hôtelier eût fait traîtreusement
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60190,mais le cheval ! – Je n' y comprends rien
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60199,"rien , murmura - t - il . – Et"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60204,"- il . – Et moi , non plus !"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60210,", non plus ! fit Bartholomeo dont les dents s'"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60211,non plus ! fit Bartholomeo dont les dents s' entrechoquaient
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60220,entrechoquaient de terreur . – Je crois que quelque adroit
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60237,"D' autant mieux , observa Ephraïm qui venait de sortir"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60238,"autant mieux , observa Ephraïm qui venait de sortir dans"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60250,", d' autant mieux que vous avez laissé la porte"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60259,porte charretière ouverte … Voyez vous - même … –
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60269,C' est trop fort . Je suis sûr de l'
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60285,ouvre pas du dehors … Le juif ne trouva rien
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60304,", en effet , dit - il au bout d'"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60318,"qu' il en soit , je regrette de m' être"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60331,"… Allons , il ne vous reste qu' à me"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60335,ne vous reste qu' à me rendre l' argent .
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60351,bien dur que celui où maître Bartholomeo dut restituer les
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60368,d' un cheval qui ne lui appartenait pas . Et
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60375,"pas . Et tandis qu' Ephraïm se retirait , Bartholomeo"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60379,"qu' Ephraïm se retirait , Bartholomeo rentra dans la salle"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60391,", pâle , tremblant , se laissa tomber sur un"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60402,", en murmurant : – Mon auberge est hantée !"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60409,"est hantée ! … Et maître Bartholomeo , accablé d'"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60438,"l' être , et ne put être vendu tout en"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60461,"eaux jaunâtres du fleuve , le chevalier avait son idée"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60464,"fleuve , le chevalier avait son idée : aborder aux"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60474,marches de l' auberge . Il commença donc par nager
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60493,"qu' au moment même où il disparaissait , plusieurs coups"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60510,Palais - Riant . Lorsqu' il revint à la surface
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60518,"la surface du fleuve , il était déjà loin ."
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60523,il était déjà loin . Il mit une fois encore
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60535,hors de l' eau et se vit près des marches
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60541,vit près des marches de son auberge . En quelques
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60549,"En quelques brasses vigoureuses , il les atteignit et posa"
Zevaco-Michel_Borgia-_<Bartholomeo-2190>_60553,", il les atteignit et posa les mains à l'"
