,text_surronding
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_33854,"j' allais crier : « Sire , cette sorcière a"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_33955,", il ajouta : « Sire , Votre Majesté est"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_33957,"ajouta : « Sire , Votre Majesté est sauvée ."
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_33987,pas . « Qu' avez - vous fait de cette
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_33995,"de cette femme ? demanda Louis X en examinant ,"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34029,"par conséquent , incapable de vous nuire désormais . –"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34044,à instruire son procès . Je veux un châtiment qui
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34066,". Veillez à cela , mon cher Marigny . –"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34073,"Marigny . – Oui , Sire , répondit le père"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34098,"pouvez vous retirer , dit le roi . Trencavel ,"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34103,"le roi . Trencavel , faites ouvrir les portes du"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34121,", messieurs . Merci de m' avoir assisté dans cette"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34132,"épreuve . Allez dormir . Moi , je vais annoncer"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34134,"Allez dormir . Moi , je vais annoncer à la"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34149,"été exaucées . Valois , je vous donne le commandement"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34157,"le commandement du Temple . Marigny , occupez - vous"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34208,"rapide , violent , qui lui était particulier , Louis"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34212,"qui lui était particulier , Louis X passa entre les"
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34223,haies des seigneurs courbés et se dirigea vers la galerie
Zevaco-Michel_Buridan-le-heros-de-la-tour-Nesle_<Sire-1494>_34224,des seigneurs courbés et se dirigea vers la galerie de
