,text_surronding
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141561,heures . Il demanda si le grand prévôt était là
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141570,"là . Mais , contre son habitude , M ."
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141573,", contre son habitude , M . de Monclar n'"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141635,"quatre heures , on annonça le grand prévôt au roi"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141641,grand prévôt au roi qui le fit introduire aussitôt .
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141648,"introduire aussitôt . – Je vous attendais , Monclar ,"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141651,"– Je vous attendais , Monclar , dit le roi"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141661,avec bonne humeur . – J' étais retenu par le
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141672,"de Votre Majesté , répondit le grand prévôt . –"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141677,le grand prévôt . – Vous voilà pardonné . Mais
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141687,", dites - moi , Monclar , êtes - vous"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141690,"moi , Monclar , êtes - vous bien sûr que"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141710,le révérend Loyola ? – Je ne comprends pas bien
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141715,"Je ne comprends pas bien votre question , sire …"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141718,"pas bien votre question , sire … – Je vais"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141721,"question , sire … – Je vais me faire comprendre"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141727,vais me faire comprendre … je désire que M .
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141745,"– C' est impossible , sire ! dit le grand"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141748,"impossible , sire ! dit le grand prévôt . –"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141760,oh ! monsieur ; faut - il dire alors non
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141767,"dire alors non pas que je désire , mais que"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141772,"je désire , mais que je veux ? – En"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141780,"– En ce cas , sire , je vais aller"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141782,"ce cas , sire , je vais aller de ce"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141851,"contre l' autorité royale … J' y vais , sire"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141855,"… J' y vais , sire . Et Monclar fit"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141858,"vais , sire . Et Monclar fit un pas de"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141872,de sang ! s' écria le roi . Que signifie
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141883,"cette histoire ? Parlez , monsieur ! – Cela signifie"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141891,Cela signifie exactement ce que je viens d' avoir l'
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141900,l' honneur de dire à Votre Majesté . Le prisonnier
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141932,"le Louvre … – Contez - moi cela , Monclar"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141936,"Contez - moi cela , Monclar … – C' est"
Zevaco-Michel_Triboulet_<le grand prévôt-5590>_141944,C' est précisément ce que je voulais faire lorsque Votre
