,text_surronding
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47638,raisonnements du monde . Mais je ne fis pas valoir
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47711,au centre du globe ?Mais je gardai cette objection pour
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47716,"je gardai cette objection pour moi , et j' attendis"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47719,"objection pour moi , et j' attendis les événements ."
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47737,calculs et en conversation . Je fus toujours de l'
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47748,"du professeur Lidenbrock , et j' enviai la parfaite indifférence"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47790,"se passaient bien , et j' aurais eu mauvaise grâce"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47825,Et quelle gloire alors ! J' en étais arrivé à
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47848,au milieu étrange dans lequel je vivais ? Peut -
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_47963,de jour en jour . Je crois même qu' il
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48041,digne d' être rapporté . Je ne retrouve dans ma
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48045,". Je ne retrouve dans ma mémoire , et pour"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48062,une extrême gravité . Il m' eût été difficile d'
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48141,un plan peu incliné . Je marchais en avant .
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48146,Je marchais en avant . Mon oncle portait l' un
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48158,"appareils de Ruhmkorff , et moi l' autre . J'"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48162,et moi l' autre . J' examinais les couches de
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48177,", en me retournant , je m' aperçus que j'"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48181,", je m' aperçus que j' étais seul . «"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48189,". « Bon , pensai - je , j' ai"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48192,", pensai - je , j' ai marché trop vite"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48202,", ou bien Hans et mon oncle se sont arrêtés"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48228,sensiblement . »Je revins sur mes pas . Je marchai
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48231,revins sur mes pas . Je marchai pendant un quart
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48239,un quart d' heure . Je regardai . Personne .
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48244,Je regardai . Personne . J' appelai . Point de
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48251,. Point de réponse . Ma voix se perdit au
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48265,qu' elle éveilla soudain . Je commençai à me sentir
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48274,sentir inquiet . Un frisson me parcourut tout le corps
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48287,"peu de calme , dis - je à haute voix"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48293,je à haute voix . Je suis sûr de retrouver
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48298,Je suis sûr de retrouver mes compagnons . Il n'
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48311,"deux routes ! Or , j' étais en avant ,"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48328,une demi - heure . J' écoutai si quelque appel
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48334,"écoutai si quelque appel ne m' était pas adressé ,"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48348,"si dense , il pouvait m' arriver de loin ."
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48362,dans l' immense galerie . Je m' arrêtai . Je
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48366,. Je m' arrêtai . Je ne pouvais croire à
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48371,Je ne pouvais croire à mon isolement . Je voulais
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48374,croire à mon isolement . Je voulais bien être égaré
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48393,". « Voyons , répétai - je , puisqu' il"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48410,"puisqu' ils la suivent , je dois les rejoindre ."
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48426,"À moins que , ne me voyant pas , et"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48433,"pas , et oubliant que je les devançais , ils"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48457,"dans ce cas , en me hâtant , je les"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48460,", en me hâtant , je les retrouverai . C'"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48500,"sous forme de raisonnement , je dus employer un temps"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48510,fort long . Un doute me prit alors . Étais
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48515,me prit alors . Étais - je bien en avant
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48524,"avant ? Certes . Hans me suivait , précédant mon"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48528,"Hans me suivait , précédant mon oncle . Il s'"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48549,son épaule . Ce détail me revenait à l' esprit
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48562,à ce moment même que j' avais dû continuer ma
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48566,que j' avais dû continuer ma route . « D'
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48574,"« D' ailleurs , pensai - je , j' ai"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48577,", pensai - je , j' ai un moyen sûr"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48591,"égarer , un fil pour me guider dans ce labyrinthe"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48603,"qui ne saurait casser , mon fidèle ruisseau . Je"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48607,", mon fidèle ruisseau . Je n' ai qu' à"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48617,"remonter son cours , et je retrouverai forcément les traces"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48623,retrouverai forcément les traces de mes compagnons . »Ce raisonnement
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48628,"mes compagnons . »Ce raisonnement me ranima , et je"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48632,"raisonnement me ranima , et je résolus de me remettre"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48645,perdre un instant . Combien je bénis alors la prévoyance
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48651,"bénis alors la prévoyance de mon oncle , lorsqu' il"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48684,"pendant la route , allait me guider à travers les"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48699,". Avant de remonter , je pensai qu' une ablution"
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48704,je pensai qu' une ablution me ferait quelque bien .
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48709,me ferait quelque bien . Je me baissai donc pour
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48715,me baissai donc pour plonger mon front dans l' eau
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48729,!Que l' on juge de ma stupéfaction !Je foulais un
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48745,ruisseau ne coulait plus à mes pieds !Je ne puis
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48751,pieds !Je ne puis peindre mon désespoir . Nul mot
 Verne-Jules_Voyage-au-centre-de-la-Terre_<»Je-2292>_48762,la langue humaine ne rendrait mes sentiments . J' étais
