,text_surronding,Gender
Colette_Claudine-a-l-ecole_<Je-515>_11683,dont on nous torture ? Je les exècre ! Et,female
Colette_Claudine-a-l-ecole_<Je-515>_11828,", hypothèses invraisemblables , qui m' ont rendue réfractaire à",female
Colette_Claudine-a-l-ecole_<Je-515>_11837,à l' arithmétique pour toute ma vie ! – Anaïs,female
Colette_Claudine-a-l-ecole_<Je-515>_11854,"perche se lève , et m' adresse en cachette une",female
Colette_Claudine-a-l-ecole_<Je-515>_11896,» et l' explique . J' en profite pour examiner,female
Colette_Claudine-a-l-ecole_<Je-515>_11905,examiner l' institutrice tout à mon aise : ses regards,female
Colette_Claudine-a-l-ecole_<Je-515>_11922,"Si , au moins , j' avais pu voir Aimée",female
Colette_Claudine-a-l-ecole_<Je-515>_11976,( Mon Dieu ! préservez - moi des fractions divisibles,female
Colette_Claudine-a-l-ecole_<Je-515>_12020,diviseur . Voilà ce que je craignais . Je commence,female
Colette_Claudine-a-l-ecole_<Je-515>_12023,ce que je craignais . Je commence mélancoliquement; je lâche,female
Colette_Claudine-a-l-ecole_<Je-515>_12026,craignais . Je commence mélancoliquement; je lâche quelques bêtises parce,female
Colette_Claudine-a-l-ecole_<Je-515>_12032,lâche quelques bêtises parce que je n' ai pas la,female
Colette_Claudine-a-l-ecole_<Je-515>_12041,la tête à ce que je fais . Qu' elles,female
Colette_Claudine-a-l-ecole_<Je-515>_12066,sourcils les petites bourdes que je m' accorde ! Enfin,female
Colette_Claudine-a-l-ecole_<Je-515>_12071,je m' accorde ! Enfin je m' en tire et,female
Colette_Claudine-a-l-ecole_<Je-515>_12076,"je m' en tire et reviens à ma place ,",female
Colette_Claudine-a-l-ecole_<Je-515>_12078,"en tire et reviens à ma place , emportant un",female
Colette_Claudine-a-l-ecole_<Je-515>_12107,à son observation : « Vous oubliez d' abaisser les,female
Colette_Claudine-a-l-ecole_<Je-515>_12115,"abaisser les zéros » , j' ai répondu : –",female
Colette_Claudine-a-l-ecole_<Je-515>_12132,"ils le méritent . Après moi , Marie Belhomme vient",female
Colette_Claudine-a-l-ecole_<Je-515>_12188,", mademoiselle Lanthenay entre . Je la regarde avidement :",female
Colette_Claudine-a-l-ecole_<Je-515>_12212,", les chers yeux qui me lancent un regard effaré",female
Colette_Claudine-a-l-ecole_<Je-515>_12222,et se détournent vite ! Je reste consternée ; mon,female
Colette_Claudine-a-l-ecole_<Je-515>_12241,bien pu lui faire ? J' ai rougi de colère,female
Colette_Claudine-a-l-ecole_<Je-515>_12303,ça veut dire ? Quand je pense que la leçon,female
Colette_Claudine-a-l-ecole_<Je-515>_12316,"a lieu que demain , je m' angoisse davantage .",female
Colette_Claudine-a-l-ecole_<Je-515>_12324,davantage . Mais quoi ? Je ne peux rien faire,female
Colette_Claudine-a-l-ecole_<Je-515>_12408,tabliers . La grande Anaïs me regarde prendre ma charge,female
Colette_Claudine-a-l-ecole_<Je-515>_12411,"grande Anaïs me regarde prendre ma charge , portant elle",female
