,text_surronding,Gender
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103017,". — Ah ! dit Bannière , vous voilà enfin",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103025,voilà enfin ! — Ne m' attendiez - vous pas,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103032,"- vous pas ? — Je ne croyais pas ,",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103046,"auriez le courage , après m' avoir précipité dans l'",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103066,"point de phrases inutiles , monsieur Bannière . Vous jouez",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103069,"inutiles , monsieur Bannière . Vous jouez de malheur en",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103080,monde . — Oh ! vous m' aidez bien à,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103081,. — Oh ! vous m' aidez bien à perdre,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103092,partie ! — Que voulez - vous dire ? —,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103103,est - ce pas à vous que je dois d',Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103114,en prison ? — Si vous me reprochez de m',Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103127,"d' avoir déserté pour moi votre profession , vous dites",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103130,"pour moi votre profession , vous dites vrai , je",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103139,je suis la cause de votre emprisonnement . — Ce,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103149,n' est pas ce que je veux dire : je,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103153,que je veux dire : je veux dire que je,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103157,: je veux dire que je vous aimais et que,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103158,je veux dire que je vous aimais et que vous,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103162,je vous aimais et que vous m' avez dénoncé .,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103163,vous aimais et que vous m' avez dénoncé . —,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103174,"! une lâcheté semblable , vous savez bien que j'",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103178,", vous savez bien que j' en suis incapable .",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103195,ce colonel de dragons qui vous cherchait hier au soir,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103203,"au soir , et qui vous a trouvée sans doute",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103209,a trouvée sans doute ? Olympe pâlit ; bien qu',Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103214,Olympe pâlit ; bien qu' elle s' attendit à ce,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103221,"attendit à ce coup , elle sentait bien qu' il",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103234,pas de bonne défense pour elle . — Vous avez,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103237,défense pour elle . — Vous avez vu monsieur de,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103251,- ce pas ? fit - elle d' un ton,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103261,où perçait la pitié . Bannière prit cette douleur pour,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103278,"— Eh bien ! dit - il , vous voilà",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103281,"! dit - il , vous voilà convaincue . Il",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103291,est bien avéré maintenant que vous et cet ancien amant,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103299,ancien amant vous avez comploté ma perte . — Si,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103306,". — Si peu , monsieur Bannière , que je",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103310,", monsieur Bannière , que je suis venue de la",Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103320,part de monsieur de Mailly vous apporter la liberté .,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103330,— La liberté ! à moi ! s' écria le,Male
Dumas-Alexandre_Olympe-de-Cleves_<Bannière-3751>_103334,à moi ! s' écria le jeune homme stupéfait .,Male
