,text_surronding,Gender
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71721,"Avec une rare maladresse , j' intrigue à mon tour",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71724,"maladresse , j' intrigue à mon tour pour monnayer ce",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71730,tour pour monnayer ce que je publie . Le caractère,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71737,. Le caractère direct de mes démarches est tel que,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71742,mes démarches est tel que je passe vite pour un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71768,subtiles et obséquieuses . Mais j' ai peu de temps,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71775,peu de temps . On m' attend ce soir à,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71792,fait le caractère difficile de votre situation personnelle mais nous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71828,doit être équitablement répartie . Vous avez été informé du,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71850,réunion du comité – où vous étiez une nouvelle fois,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71857,une nouvelle fois absent . Je suis moi - même,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71859,fois absent . Je suis moi - même engagé dans,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71881,de souligner l' importance . J' ai passé près de,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71896,article de dix pages dont je vous avais parlé .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71897,de dix pages dont je vous avais parlé . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71926,". Certains éditeurs , dont je dois encore taire les",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71933,"encore taire les noms , me proposent de rassembler mes",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71937,", me proposent de rassembler mes études . Je songeais",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71940,de rassembler mes études . Je songeais à ce titre,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71961,Roman . Qu' en pensez - vous ? Pas mal,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_71980,"à notre estimée collègue , vous savez qu' après dix",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72007,"– Oui , notre secrétaire m' a dit les nuits",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72072,Saint - John Perse que j' ai récemment entendu en,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72127,! – Pardon . – Vous n' êtes pas au,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72148,Beyond » . – Êtes - vous certain que nos,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72209,ténèbres . . . – Je ne vous comprends pas,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72211,. . – Je ne vous comprends pas ! Vous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72246,. . . – Mesurez vos propos ! J' espérais,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72249,– Mesurez vos propos ! J' espérais une position moins,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72256,une position moins réactionnaire de votre part . Quand nous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72261,"votre part . Quand nous vous avons élu , nous",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72268,"élu , nous pensions que vous participeriez à cette grande",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72285,. Il est vrai que votre courageux article du Monde,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72307,. – Courageux sonne dans votre bouche comme un synonyme,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72328,texte dans le Guardian ne vous a pas fait que,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72342,hiérarchie . . . Mais vous deviez vous y attendre,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72354,n' est perdu cependant . Je suis prêt à vous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72358,. Je suis prêt à vous aider . Vous devriez,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72361,prêt à vous aider . Vous devriez participer à notre,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72370,notre séminaire de recherche . Je suis sûr que vous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72374,. Je suis sûr que vous auriez des choses passionnantes,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72387,. Et puis cela pourrait vous être utile . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72398,– Certainement . . . Je suis désolé . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72404,suis désolé . . . Je prends l' Eurostar .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72414,. . – Ne pouvez - vous pas retarder votre,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72418,pouvez - vous pas retarder votre départ d' un jour,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72425,d' un jour ? – Je ne veux pas manquer,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72436,. . . . – Vous êtes un incorrigible Parisien,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72438,. . – Vous êtes un incorrigible Parisien ! Ne,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72466,de Tel Quel avec qui vous avez rendez - vous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72503,mais nous le ferions volontiers docteur honoris causa . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72510,causa . . . – Vous savez : il ne,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72545,? . . . Laissez - moi deviner : le,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72585,créneau . . . Dites - m' en plus !,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72595,– . . . Mais mon train ! . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72602,"! . . . – Vous voulez l' exclusivité ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72607,"Vous voulez l' exclusivité , mon salaud . . .",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72612,mon salaud . . . J' appelle Random . On,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72622,signe ensemble . . . Je connais quelqu' un .,Male
