,text_surronding,Gender
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129103,"apparut tout à coup à la cuisinière , la digne",Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129106,"coup à la cuisinière , la digne Catherine . –",Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129113,"Catherine . – Voyons , Catherine , fit Juliette ,",Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129133,n' est pas prêt … Vous savez qu' elle n',Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129142,n' aime pas attendre … La cuisinière s' était retournée,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129155,ébahie … – Qu' avez - vous à me regarder,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129163,me regarder ainsi ? Etes - vous folle ? reprit,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129177,sœur va rentrer … – Votre sœur ! balbutia la,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129181,– Votre sœur ! balbutia la cuisinière suffoquée . –,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129189,. – Suzon ! Mais vous tombez des nues ?,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129201,Ah ! Mlle Suzon est votre sœur ? … –,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129218,la tête dure ! Suzon me l' avait bien dit,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129225,avait bien dit en venant me demander de la remplacer,Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129240,"… Allons , allons , dame Catherine , à l'",Female
Zevaco-Michel_La-Marquise-de-Pompadour_<la cuisinière-4708>_129249,l' ouvrage ! … Et songez que si je suis,Female
