doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1811_Chateaubriand-François-Rene-de_Oeuvres-completes,1811,françois rene de chateaubriand,oeuvres completes,True,male,1848,canon
1812_Kock-Paul-de_L-enfant-de-ma-femme,1812,paul de kock,l enfant de ma femme,False,male,1871,non-canon
1815_Gay-Sophie_Anatole_Vol-2,1815,sophie gay,anatole,False,female,1852,non-canon
1815_Gay-Sophie_Anatole_Vol-1,1815,sophie gay,anatole,False,female,1852,non-canon
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-1),1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,False,female,1821,non-canon
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-2),1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,False,female,1821,non-canon
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-3,1816,malarme charlotte de bournon,lancelot montagu ou le resultat des bonnes fortunes,False,female,1830,non-canon
1816_Barthelemy-Hadot-Marie-Adelaide_La-Vierge-de-l-Indostan-ou-les-Portugais-au-Malabar_(Tome-4),1816,hadot marie adelaide barthelemy,la vierge de l indostan ou les portugais au malabar,False,female,1821,non-canon
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-2,1816,malarme charlotte de bournon,lancelot montagu ou le resultat des bonnes fortunes,False,female,1830,non-canon
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-1,1816,malarme charlotte de bournon,lancelot montagu ou le resultat des bonnes fortunes,False,female,1830,non-canon
1816_Constant-Benjamin_Adolphe,1816,benjamin constant,adolphe,True,male,1830,canon
1817_Barthelemy-Hadot-Marie-Adelaide_Les-venitiens-ou-Le-capitaine-français_(Tome-1),1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,False,female,1821,non-canon
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-2),1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,False,female,1821,non-canon
1817_Barthelemy-Hadot-Marie-Adelaide_Les-Venitiens-ou-le-Capitaine-français_(Tome-4),1817,hadot marie adelaide barthelemy,les venitiens ou le capitaine français,False,female,1821,non-canon
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-2),1819,hadot marie adelaide barthelemy,laurence de sully ou l ermitage en suisse,False,female,1821,non-canon
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-3),1819,hadot marie adelaide barthelemy,laurence de sully ou l ermitage en suisse,False,female,1821,non-canon
1819_Barthelemy-Hadot-Marie-Adelaide_Laurence-de-Sully-ou-L-ermitage-en-Suisse_(Tome-4),1819,hadot marie adelaide barthelemy,laurence de sully ou l ermitage en suisse,False,female,1821,non-canon
1821_Arlincourt-Charles-Victor_Le-Solitaire,1821,charles victor arlincourt,le solitaire,False,male,1856,non-canon
1822_Hugo-Victor_Han-d-Islande,1822,victor hugo,han d islande,True,male,1885,canon
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-2,1822,charles victor arlincourt,le renégat,False,male,1856,non-canon
1822_Arlincourt-Charles-Victor_Le-renégat_Tome-1,1822,charles victor arlincourt,le renégat,False,male,1856,non-canon
1823_Duras-Claire-de-Durfort_Ourika,1823,claire de durfort duras,ourika,True,female,1828,canon
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-2,1824,du heaume hippolyte mazier,voyage d un jeune grec a paris,False,male,1???,non-canon
1824_Mazier-du-Heaume-Hippolyte_Voyage-d-un-jeune-grec-a-Paris_Volume-1,1824,du heaume hippolyte mazier,voyage d un jeune grec a paris,False,male,1???,non-canon
1824_Beaufort-d-Hautpoul_Le-page-et-la-romance_tome-1,1824,d hautpoul beaufort,le page et la romance,False,female,1837,non-canon
1824_Beaufort-d-Hautpoul-Anne-Marie-de_Le-Page-et-la-romance_tome-3,1824,d hautpoul anne marie de beaufort,le page et la romance,False,female,1837,non-canon
1825_Duras-Claire-de_Edouard,1825,claire de duras,edouard,True,female,1828,canon
1825_de-Lamothe-Langon-Etienne-Leon_Le-Monastere-des-freres-noirs,1825,lamothe langon etienne leon de,le monastere des freres noirs,False,male,1864,non-canon
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-2,1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,False,,1???,non-canon
1826_Kock-Paul-de_Andre-le-Savoyard,1826,paul de kock,andre le savoyard,False,male,1871,non-canon
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-3,1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,False,,1???,non-canon
1826_Ginouvier-J-F-T._Gustave-et-Aspais-ou-Les-victimes-des-prejuges-de-l-epoque_tome-1,1826,j f t. ginouvier,gustave et aspais ou les victimes des prejuges de l epoque,False,,1???,non-canon
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-III,1827,eugene françois vidocq,memoires de vidocq,False,male,1857,non-canon
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-II,1827,eugene françois vidocq,memoires de vidocq,False,male,1857,non-canon
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-IV,1827,eugene françois vidocq,memoires de vidocq,False,male,1857,non-canon
1827_Vigny-Alfred-de_Cinq-Mars,1827,alfred de vigny,cinq mars,True,male,1863,canon
1827_Janin-Jules_L-Ane-mort-et-la-femme-guillotinee,1827,jules janin,l ane mort et la femme guillotinee,False,male,1874,non-canon
1827_Stendhal_Armance,1827,stendhal,armance,True,male,1842,canon
1827_Vidocq-Eugene-François_Memoires-de-Vidocq_Tome-I,1827,eugene françois vidocq,memoires de vidocq,False,male,1857,non-canon
1827_Inconnu_Le-rocher,1827,inconnu,le rocher,False,female,1???,non-canon
1828_Kock-Paul-de_Jean,1828,paul de kock,jean,False,male,1871,non-canon
1829_Custine-Astolphe-de_Aloys-ou-le-Religieux-du-mont-Saint-Bernard,1829,astolphe de custine,aloys ou le religieux du mont saint bernard,False,male,1857,non-canon
1829_Hugo-Victor_Le-dernier-jour-d-un-condamne,1829,victor hugo,le dernier jour d un condamne,True,male,1885,canon
1829_Merimee-Prosper_Mateo-Falcone,1829,prosper merimee,mateo falcone,True,male,1870,canon
1829_Giberton-Theodore_La-fille-du-vieux-chanteur,1829,theodore giberton,la fille du vieux chanteur,False,male,1???,non-canon
1829_Merimee-Prosper_Tamango,1829,prosper merimee,tamango,True,male,1870,canon
1830_Merimee-Prosper_La-Partie-de-Trictrac,1830,prosper merimee,la partie de trictrac,True,male,1870,canon
1830_Stendhal_Le-Rouge-et-le-noir,1830,stendhal,le rouge et le noir,True,male,1842,canon
1830_Sue-Eugene_Kernok-le-Pirate,1830,eugene sue,kernok le pirate,True,male,1857,canon
1831_Montovar-Mme-Ha-Dges_Aslega,1831,mme ha dges montovar,aslega,False,female,????,non-canon
